ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015979	photosynthesis	45/236	81/2937	9.7456914717114e-30	3.63514291894835e-27	2.95448330931883e-27	ostta01g04940/ostta14g00065/ostta05g03830/ostta07g02590/ostta07g02410/ostta12g00420/ostta10g00200/ostta03g00350/ostta07g02400/ostta14g02630/ostta12g00520/ostta02g03330/ostta02g03860/ostta14g00150/ostta09g04420/ostta02g04800/ostta18g01230/ostta16g02310/ostta15g00990/ostta04g01790/ostta09g00120/ostta11g00990/ostta06g01650/ostta05g04560/ostta01g05690/ostta07g02420/ostta05g00800/ostta05g04960/ostta13g01320/ostta15g02680/ostta16g01620/ostta01g03040/ostta17g00570/ostta01g06610/ostta02g02560/ostta07g01740/ostta18g01250/ostta04g02740/ostta01g03170/ostta03g05500/ostta01g01560/ostta06g03390/ostta09g01080/ostta06g00700/ostta15g01230	45
GO:0044550	secondary metabolite biosynthetic process	62/236	362/2937	7.45132571120064e-10	1.17525506370729e-07	9.55195310703254e-08	ostta05g01070/ostta07g02590/ostta05g01230/ostta15g02520/ostta15g00955/ostta05g04410/ostta07g03070/ostta03g00350/ostta05g00930/ostta12g01390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g02940/ostta13g02030/ostta06g03370/ostta11g00050/ostta10g01470/ostta09g00120/ostta08g02360/ostta04g04420/ostta06g01650/ostta03g02130/ostta16g02450/ostta03g00870/ostta02g03360/ostta01g02870/ostta03g02390/ostta01g05690/ostta05g04960/ostta07g02450/ostta03g00920/ostta17g00130/ostta04g02080/ostta15g02680/ostta04g03520/ostta11g01340/ostta08g01100/ostta05g04730/ostta16g01560/ostta01g03040/ostta01g02220/ostta07g01740/ostta11g02780/ostta16g01910/ostta13g01180/ostta09g02540/ostta15g00150/ostta10g02860/ostta06g00700/ostta18g00810/ostta13g01040/ostta07g02580/ostta20g00490/ostta12g00480/ostta05g02740/ostta06g00150/ostta08g03180/ostta12g01280/ostta09g03060/ostta09g00960/ostta04g00300	62
GO:0019748	secondary metabolic process	62/236	364/2937	9.45245359550095e-10	1.17525506370729e-07	9.55195310703254e-08	ostta05g01070/ostta07g02590/ostta05g01230/ostta15g02520/ostta15g00955/ostta05g04410/ostta07g03070/ostta03g00350/ostta05g00930/ostta12g01390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g02940/ostta13g02030/ostta06g03370/ostta11g00050/ostta10g01470/ostta09g00120/ostta08g02360/ostta04g04420/ostta06g01650/ostta03g02130/ostta16g02450/ostta03g00870/ostta02g03360/ostta01g02870/ostta03g02390/ostta01g05690/ostta05g04960/ostta07g02450/ostta03g00920/ostta17g00130/ostta04g02080/ostta15g02680/ostta04g03520/ostta11g01340/ostta08g01100/ostta05g04730/ostta16g01560/ostta01g03040/ostta01g02220/ostta07g01740/ostta11g02780/ostta16g01910/ostta13g01180/ostta09g02540/ostta15g00150/ostta10g02860/ostta06g00700/ostta18g00810/ostta13g01040/ostta07g02580/ostta20g00490/ostta12g00480/ostta05g02740/ostta06g00150/ostta08g03180/ostta12g01280/ostta09g03060/ostta09g00960/ostta04g00300	62
GO:0033013	tetrapyrrole metabolic process	20/236	55/2937	2.27814668494907e-09	2.12437178371501e-07	1.72659538227719e-07	ostta05g01070/ostta07g02590/ostta05g01230/ostta01g03390/ostta12g01390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g03370/ostta17g00100/ostta01g02870/ostta01g05690/ostta05g04960/ostta07g02450/ostta17g00130/ostta15g01850/ostta15g02680/ostta08g01100/ostta07g01740/ostta02g03880	20
GO:0006778	porphyrin-containing compound metabolic process	17/236	45/2937	1.98302743251739e-08	1.47933846465797e-06	1.20234084329476e-06	ostta05g01070/ostta07g02590/ostta05g01230/ostta01g03390/ostta12g01390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g03370/ostta01g02870/ostta01g05690/ostta05g04960/ostta07g02450/ostta17g00130/ostta15g02680/ostta08g01100/ostta07g01740	17
GO:0033014	tetrapyrrole biosynthetic process	15/236	36/2937	2.93959732234117e-08	1.8274496687221e-06	1.48527022602501e-06	ostta05g01070/ostta07g02590/ostta05g01230/ostta01g03390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g03370/ostta01g05690/ostta05g04960/ostta17g00130/ostta15g02680/ostta08g01100/ostta07g01740/ostta02g03880	15
GO:0016051	carbohydrate biosynthetic process	15/236	40/2937	1.58258274115783e-07	8.43290517788386e-06	6.8538921722324e-06	ostta07g03070/ostta06g02940/ostta09g00120/ostta06g01650/ostta03g00870/ostta01g03040/ostta07g01740/ostta11g02780/ostta04g02740/ostta13g01180/ostta06g02930/ostta03g05500/ostta01g01560/ostta06g00700/ostta20g00490	15
GO:0035825	homologous recombination	12/236	28/2937	5.25750991958266e-07	2.39750591315512e-05	1.94858671649125e-05	ostta09g03530/ostta13g01140/ostta08g00240/ostta05g00310/ostta12g02080/ostta07g02610/ostta15g01090/ostta12g01965/ostta03g05810/ostta07g02710/ostta08g01800/ostta04g01710	12
GO:0019685	photosynthesis, dark reaction	8/236	12/2937	5.78486681458341e-07	2.39750591315512e-05	1.94858671649125e-05	ostta09g00120/ostta06g01650/ostta01g03040/ostta07g01740/ostta04g02740/ostta03g05500/ostta01g01560/ostta06g00700	8
GO:0006310	DNA recombination	14/236	39/2937	7.82667092516957e-07	2.91934825508825e-05	2.37271708047246e-05	ostta09g03530/ostta13g01140/ostta08g00240/ostta05g00310/ostta12g02080/ostta07g02610/ostta15g01090/ostta12g01965/ostta03g05810/ostta07g02710/ostta08g01800/ostta04g01710/ostta10g00640/ostta11g01600	14
